Date,1 mo,3 mo,6 mo,1 yr,2 yr,3 yr,5 yr,7 yr,10 yr,20 yr
5/1/2020,0.1,0.12,0.12,0.17,0.2,0.25,0.36,0.53,0.64,1.04
5/4/2020,0.1,0.13,0.14,0.16,0.19,0.24,0.36,0.52,0.64,1.05
5/5/2020,0.09,0.13,0.15,0.16,0.19,0.24,0.36,0.53,0.66,1.07
5/6/2020,0.08,0.12,0.16,0.16,0.17,0.24,0.37,0.57,0.72,1.16
5/7/2020,0.1,0.11,0.14,0.15,0.13,0.19,0.29,0.49,0.63,1.05
5/8/2020,0.1,0.12,0.15,0.15,0.16,0.21,0.33,0.53,0.69,1.12
5/11/2020,0.09,0.12,0.16,0.16,0.17,0.24,0.36,0.56,0.73,1.16
5/12/2020,0.1,0.13,0.16,0.16,0.17,0.22,0.34,0.53,0.69,1.11
5/13/2020,0.1,0.13,0.15,0.15,0.16,0.2,0.31,0.5,0.64,1.07
5/14/2020,0.09,0.12,0.15,0.15,0.16,0.2,0.31,0.48,0.63,1.03
5/15/2020,0.09,0.12,0.15,0.15,0.16,0.19,0.31,0.49,0.64,1.05
5/18/2020,0.1,0.13,0.15,0.17,0.18,0.24,0.38,0.57,0.73,1.17
5/19/2020,0.09,0.13,0.15,0.16,0.17,0.22,0.35,0.54,0.7,1.15
5/20/2020,0.08,0.12,0.14,0.16,0.16,0.21,0.34,0.53,0.68,1.19
5/21/2020,0.09,0.12,0.14,0.16,0.17,0.21,0.35,0.53,0.68,1.16
5/22/2020,0.09,0.12,0.16,0.17,0.17,0.21,0.34,0.51,0.66,1.12
5/26/2020,0.1,0.14,0.17,0.17,0.18,0.22,0.35,0.53,0.69,1.19
5/27/2020,0.11,0.15,0.17,0.18,0.19,0.22,0.34,0.52,0.68,1.19
5/28/2020,0.14,0.15,0.18,0.17,0.17,0.22,0.34,0.54,0.7,1.23
5/29/2020,0.13,0.14,0.18,0.17,0.16,0.19,0.3,0.5,0.65,1.18
6/1/2020,0.12,0.14,0.18,0.17,0.14,0.2,0.31,0.5,0.66,1.22
6/2/2020,0.12,0.15,0.18,0.17,0.17,0.2,0.32,0.52,0.68,1.24
6/3/2020,0.12,0.16,0.19,0.17,0.19,0.26,0.38,0.59,0.77,1.32
6/4/2020,0.13,0.15,0.18,0.17,0.19,0.26,0.4,0.63,0.82,1.38
6/5/2020,0.13,0.15,0.18,0.18,0.22,0.29,0.47,0.71,0.91,1.46
6/8/2020,0.15,0.17,0.19,0.19,0.22,0.29,0.45,0.69,0.88,1.43
6/9/2020,0.14,0.19,0.19,0.19,0.2,0.25,0.4,0.65,0.84,1.37
6/10/2020,0.13,0.17,0.19,0.18,0.17,0.22,0.33,0.56,0.75,1.31
6/11/2020,0.14,0.17,0.18,0.19,0.19,0.22,0.32,0.51,0.66,1.19
6/12/2020,0.14,0.16,0.18,0.18,0.19,0.22,0.33,0.54,0.71,1.24
6/15/2020,0.15,0.18,0.19,0.17,0.19,0.22,0.33,0.54,0.71,1.24
6/16/2020,0.14,0.17,0.19,0.18,0.21,0.23,0.34,0.56,0.75,1.31
6/17/2020,0.13,0.17,0.18,0.19,0.19,0.23,0.34,0.55,0.74,1.3
6/18/2020,0.13,0.16,0.17,0.19,0.19,0.22,0.34,0.54,0.71,1.24
6/19/2020,0.13,0.15,0.17,0.18,0.19,0.22,0.33,0.53,0.7,1.23
6/22/2020,0.14,0.16,0.18,0.17,0.19,0.22,0.34,0.54,0.71,1.23
6/23/2020,0.12,0.16,0.17,0.18,0.18,0.22,0.33,0.54,0.72,1.25
6/24/2020,0.11,0.15,0.17,0.17,0.19,0.21,0.33,0.52,0.69,1.21
6/25/2020,0.13,0.16,0.17,0.17,0.17,0.21,0.32,0.53,0.68,1.2
6/26/2020,0.12,0.14,0.17,0.17,0.17,0.19,0.3,0.49,0.64,1.15
6/29/2020,0.11,0.14,0.18,0.16,0.16,0.18,0.28,0.47,0.64,1.16
6/30/2020,0.13,0.16,0.18,0.16,0.16,0.18,0.29,0.49,0.66,1.18
7/1/2020,0.12,0.14,0.17,0.16,0.17,0.19,0.31,0.52,0.69,1.2
7/2/2020,0.13,0.14,0.16,0.16,0.16,0.19,0.29,0.5,0.68,1.2
7/6/2020,0.12,0.15,0.16,0.16,0.16,0.19,0.31,0.51,0.69,1.21
7/7/2020,0.12,0.15,0.17,0.15,0.16,0.19,0.29,0.48,0.65,1.15
7/8/2020,0.11,0.15,0.17,0.15,0.16,0.19,0.3,0.49,0.67,1.16
7/9/2020,0.11,0.13,0.16,0.15,0.16,0.18,0.28,0.46,0.62,1.09
7/10/2020,0.1,0.13,0.15,0.15,0.16,0.19,0.3,0.49,0.65,1.12
7/13/2020,0.11,0.14,0.15,0.16,0.16,0.19,0.3,0.48,0.64,1.11
7/14/2020,0.11,0.15,0.14,0.17,0.14,0.19,0.28,0.47,0.63,1.09
7/15/2020,0.12,0.16,0.15,0.15,0.16,0.18,0.28,0.47,0.64,1.11
7/16/2020,0.12,0.11,0.13,0.14,0.16,0.17,0.28,0.46,0.62,1.09
7/17/2020,0.11,0.11,0.13,0.14,0.14,0.18,0.29,0.47,0.64,1.11
7/20/2020,0.11,0.13,0.14,0.14,0.16,0.18,0.29,0.47,0.62,1.1
7/21/2020,0.09,0.13,0.13,0.15,0.14,0.17,0.27,0.45,0.61,1.09
7/22/2020,0.09,0.13,0.14,0.14,0.14,0.17,0.27,0.45,0.6,1.08
7/23/2020,0.09,0.12,0.13,0.14,0.16,0.16,0.27,0.44,0.59,1.03
7/24/2020,0.1,0.11,0.14,0.16,0.14,0.17,0.27,0.44,0.59,1.03
7/27/2020,0.1,0.11,0.14,0.14,0.15,0.18,0.3,0.46,0.62,1.05
7/28/2020,0.09,0.11,0.12,0.14,0.14,0.16,0.26,0.44,0.59,1.01
7/29/2020,0.09,0.11,0.12,0.13,0.12,0.15,0.25,0.43,0.58,1.03
7/30/2020,0.1,0.09,0.11,0.11,0.11,0.14,0.23,0.4,0.55,0.98
7/31/2020,0.09,0.09,0.1,0.11,0.11,0.11,0.21,0.39,0.55,0.98
8/3/2020,0.09,0.1,0.11,0.12,0.11,0.13,0.22,0.4,0.56,1.01
8/4/2020,0.09,0.09,0.11,0.14,0.11,0.1,0.19,0.36,0.52,0.96
8/5/2020,0.08,0.1,0.12,0.12,0.11,0.13,0.22,0.39,0.55,1
