Date,actual,predicted,previous_day_bo,Long/Short,Profit (pips)
2020-05-05,1.0906,1.0955352,1.1094,Short,0.018799999999999928
2020-05-06,1.0838,1.0850468,1.0906,Short,0.006799999999999917
2020-05-07,1.0796,1.079061,1.0838,Short,0.004200000000000204
2020-05-08,1.0833,1.0798286,1.0796,Long,0.0037000000000000366
2020-05-11,1.0971,1.0838381,1.0833,Long,0.013800000000000034
2020-05-12,1.0807,1.0837451,1.0971,Short,0.01639999999999997
2020-05-13,1.0848,1.0823144,1.0807,Long,0.0040999999999999925
2020-05-14,1.0819,1.0828062,1.0848,Short,0.0028999999999999027
2020-05-15,1.0805,1.0790287,1.0819,Short,0.0014000000000000679
2020-05-18,1.0817,1.08064,1.0805,Long,0.0012000000000000899
2020-05-19,1.0916,1.0863652,1.0817,Long,0.009899999999999798
2020-05-20,1.0922,1.0925103,1.0916,Long,0.000600000000000156
2020-05-21,1.098,1.0954863,1.0922,Long,0.005800000000000027
2020-05-22,1.095,1.0958755,1.098,Short,0.0030000000000001137
2020-05-26,1.0899,1.0904613,1.095,Short,0.005099999999999882
2020-05-27,1.0981,1.0944752,1.0899,Long,0.008199999999999985
2020-05-28,1.101,1.0981859,1.0981,Long,0.0028999999999999027
2020-05-29,1.1077,1.1049223,1.101,Long,0.006699999999999928
2020-06-01,1.1099,1.1112237,1.1077,Long,0.002200000000000202
2020-06-02,1.1137,1.1137958,1.1099,Long,0.0037999999999998035
2020-06-03,1.1172,1.1168704,1.1137,Long,0.0035000000000000586
2020-06-04,1.1233,1.1229013,1.1172,Long,0.006099999999999994
2020-06-05,1.1337,1.1305158,1.1233,Long,0.010399999999999965
2020-06-08,1.1286,1.1338508,1.1337,Long,-0.005099999999999882
2020-06-09,1.1294,1.1307563,1.1286,Long,0.0007999999999999119
2020-06-10,1.1341,1.1328373,1.1294,Long,0.0047000000000001485
2020-06-11,1.138,1.1407651,1.1341,Long,0.0038999999999997925
2020-06-12,1.1298,1.1378938,1.138,Short,0.008199999999999985
2020-06-15,1.1257,1.1290034,1.1298,Short,0.0040999999999999925
2020-06-16,1.1323,1.1319758,1.1257,Long,0.006600000000000161
2020-06-17,1.1262,1.1304373,1.1323,Short,0.006099999999999994
2020-06-18,1.1244,1.1263045,1.1262,Long,-0.0018000000000000238
2020-06-19,1.1205,1.1232656,1.1244,Short,0.0039000000000000146
2020-06-22,1.1179,1.1215047,1.1205,Long,-0.0026000000000001577
2020-06-23,1.126,1.125094,1.1179,Long,0.008099999999999996
2020-06-24,1.1307,1.1320313,1.126,Long,0.0047000000000001485
2020-06-25,1.1251,1.1302775,1.1307,Short,0.005600000000000049
2020-06-26,1.122,1.1244141,1.1251,Short,0.0030999999999998806
2020-06-29,1.122,1.1245931,1.122,Long,0.0
2020-06-30,1.1241,1.1273369,1.122,Long,0.0020999999999999908
2020-07-01,1.1235,1.1252896,1.1241,Long,-0.000600000000000156
2020-07-02,1.1251,1.125903,1.1235,Long,0.0016000000000000458
2020-07-06,1.1249,1.1296464,1.1251,Long,-0.00019999999999997797
2020-07-07,1.1308,1.1325998,1.1249,Long,0.005900000000000016
2020-07-08,1.1274,1.1324555,1.1308,Long,-0.0034000000000000696
2020-07-09,1.1332,1.135038,1.1274,Long,0.005800000000000027
2020-07-10,1.1284,1.1355478,1.1332,Long,-0.0047999999999999154
2020-07-13,1.13,1.1333244,1.1284,Long,0.0015999999999998238
2020-07-14,1.1344,1.1387931,1.13,Long,0.0044000000000001815
2020-07-15,1.14,1.1485113,1.1344,Long,0.005599999999999827
2020-07-16,1.141,1.1436795,1.14,Long,0.001000000000000112
2020-07-17,1.1383,1.1442525,1.141,Long,-0.0026999999999999247
2020-07-20,1.1429,1.1435142,1.1383,Long,0.0045999999999999375
2020-07-21,1.1449,1.1436629,1.1429,Long,0.0020000000000000018
2020-07-22,1.1527,1.1452643,1.1449,Long,0.007800000000000029
2020-07-23,1.1569,1.1469539,1.1527,Short,-0.0041999999999999815
2020-07-24,1.1597,1.1433343,1.1569,Short,-0.0027999999999999137
2020-07-27,1.1657,1.1417774,1.1597,Short,-0.006000000000000005
2020-07-28,1.1751,1.1414925,1.1657,Short,-0.009400000000000075
2020-07-29,1.1719,1.1380244,1.1751,Short,0.0032000000000000917
2020-07-30,1.1793,1.1379371,1.1719,Short,-0.007400000000000073
2020-07-31,1.1849,1.1334217,1.1793,Short,-0.005600000000000049
2020-08-03,1.1779,1.133977,1.1849,Short,0.007000000000000117
2020-08-04,1.1764,1.1367694,1.1779,Short,0.0015000000000000568
2020-08-05,1.1802,1.1320118,1.1764,Short,-0.0038000000000000256
2020-08-06,1.1865,1.1340555,1.1802,Short,-0.006300000000000194
2020-08-07,1.1879,1.1328715,1.1865,Short,-0.0013999999999998458
2020-08-10,1.1787,1.1391951,1.1879,Short,0.009199999999999875
2020-08-11,1.1737,1.139448,1.1787,Short,0.0050000000000001155
2020-08-12,1.1741,1.1473526,1.1737,Short,-0.00039999999999995595
2020-08-13,1.1784,1.1600024,1.1741,Short,-0.0042999999999999705
2020-08-14,1.1816,1.1529688,1.1784,Short,-0.0032000000000000917
2020-08-17,1.1844,1.1551577,1.1816,Short,-0.0027999999999999137
2020-08-18,1.1871,1.1510013,1.1844,Short,-0.0027000000000001467
2020-08-19,1.1931,1.1476403,1.1871,Short,-0.006000000000000005
2020-08-20,1.1841,1.1512007,1.1931,Short,0.009000000000000119
2020-08-21,1.1863,1.1472179,1.1841,Short,-0.0021999999999999797
2020-08-24,1.1798,1.1459085,1.1863,Short,0.00649999999999995
2020-08-25,1.179,1.146821,1.1798,Short,0.0007999999999999119
2020-08-26,1.1834,1.1509229,1.179,Short,-0.0043999999999999595
2020-08-27,1.183,1.1523943,1.1834,Short,0.00039999999999995595
2020-08-28,1.1823,1.1627423,1.183,Short,0.000700000000000145
