Date,1 mo,3 mo,6 mo,1 yr,2 yr,3 yr,5 yr,7 yr,10 yr,20 yr
2005-01-03,1.99000001,2.319999933,2.630000114,2.789999962,3.099999905,3.279999971,3.640000105,3.940000057,4.230000019,4.840000153
2005-01-04,2.049999952,2.329999924,2.630000114,2.819999933,3.200000048,3.380000114,3.720000029,4.019999981,4.289999962,4.909999847
2005-01-05,2.039999962,2.329999924,2.630000114,2.829999924,3.220000029,3.390000105,3.730000019,4.019999981,4.289999962,4.880000114
2005-01-06,2.039999962,2.309999943,2.630000114,2.819999933,3.180000067,3.359999895,3.710000038,4.010000229,4.289999962,4.880000114
2005-01-07,2.029999971,2.319999933,2.630000114,2.819999933,3.200000048,3.400000095,3.730000019,4.03000021,4.289999962,4.880000114
2005-01-10,2.069999933,2.359999895,2.670000076,2.859999895,3.230000019,3.410000086,3.75,4.03000021,4.289999962,4.860000134
2005-01-11,2.029999971,2.339999914,2.670000076,2.859999895,3.24000001,3.410000086,3.730000019,4.0,4.260000229,4.829999924
2005-01-12,2.00999999,2.339999914,2.640000105,2.839999914,3.220000029,3.380000114,3.720000029,4.0,4.25,4.809999943
2005-01-13,2.059999943,2.349999905,2.650000095,2.839999914,3.210000038,3.359999895,3.680000067,3.950000048,4.199999809,4.75
2005-01-14,2.059999943,2.369999886,2.680000067,2.869999886,3.24000001,3.410000086,3.710000038,3.970000029,4.230000019,4.760000229
2005-01-18,2.049999952,2.390000105,2.710000038,2.900000095,3.25999999,3.420000076,3.720000029,3.970000029,4.210000038,4.730000019
2005-01-19,1.950000048,2.369999886,2.690000057,2.880000114,3.25999999,3.420000076,3.730000019,3.970000029,4.199999809,4.710000038
2005-01-20,1.889999986,2.349999905,2.670000076,2.849999905,3.210000038,3.380000114,3.680000067,3.940000057,4.170000076,4.699999809
2005-01-21,2.019999981,2.359999895,2.660000086,2.829999924,3.160000086,3.329999924,3.650000095,3.920000076,4.159999847,4.690000057
2005-01-24,2.049999952,2.369999886,2.690000057,2.859999895,3.200000048,3.359999895,3.650000095,3.900000095,4.139999866,4.650000095
2005-01-25,2.130000114,2.390000105,2.700000048,2.880000114,3.230000019,3.390000105,3.710000038,3.970000029,4.199999809,4.71999979
2005-01-26,2.160000086,2.410000086,2.710000038,2.900000095,3.269999981,3.430000067,3.730000019,3.980000019,4.210000038,4.71999979
2005-01-27,2.160000086,2.440000057,2.720000029,2.910000086,3.279999971,3.450000048,3.75,4.0,4.21999979,4.730000019
2005-01-28,2.119999886,2.460000038,2.710000038,2.890000105,3.25,3.410000086,3.690000057,3.930000067,4.159999847,4.659999847
2005-01-31,2.059999943,2.50999999,2.789999962,2.960000038,3.289999962,3.430000067,3.710000038,3.920000076,4.139999866,4.639999866
2005-02-01,2.230000019,2.50999999,2.769999981,2.950000048,3.289999962,3.430000067,3.710000038,3.930000067,4.150000095,4.650000095
2005-02-02,2.220000029,2.50999999,2.75999999,2.950000048,3.319999933,3.470000029,3.730000019,3.930000067,4.150000095,4.630000114
2005-02-03,2.180000067,2.480000019,2.75999999,2.960000038,3.339999914,3.50999999,3.75999999,3.970000029,4.179999828,4.639999866
2005-02-04,2.200000048,2.470000029,2.75,2.930000067,3.289999962,3.440000057,3.680000067,3.880000114,4.090000153,4.539999962
2005-02-07,2.269999981,2.50999999,2.779999971,2.960000038,3.309999943,3.460000038,3.670000076,3.869999886,4.070000172,4.489999771
2005-02-08,2.339999914,2.49000001,2.779999971,2.970000029,3.329999924,3.470000029,3.680000067,3.859999895,4.050000191,4.460000038
2005-02-09,2.339999914,2.50999999,2.769999981,2.930000067,3.24000001,3.380000114,3.579999924,3.789999962,4.0,4.429999828
2005-02-10,2.349999905,2.50999999,2.779999971,2.960000038,3.289999962,3.430000067,3.650000095,3.859999895,4.070000172,4.519999981
2005-02-11,2.359999895,2.549999952,2.829999924,3.0,3.339999914,3.480000019,3.700000048,3.900000095,4.099999905,4.550000191
2005-02-14,2.369999886,2.589999914,2.839999914,3.029999971,3.380000114,3.50999999,3.700000048,3.880000114,4.079999924,4.510000229
2005-02-15,2.400000095,2.589999914,2.859999895,3.029999971,3.369999886,3.50999999,3.710000038,3.910000086,4.099999905,4.550000191
2005-02-16,2.390000105,2.569999933,2.859999895,3.049999952,3.410000086,3.559999943,3.779999971,3.970000029,4.159999847,4.599999905
2005-02-17,2.400000095,2.579999924,2.849999905,3.029999971,3.380000114,3.549999952,3.779999971,3.99000001,4.190000057,4.650000095
2005-02-18,2.390000105,2.609999895,2.900000095,3.089999914,3.450000048,3.619999886,3.859999895,4.070000172,4.269999981,4.71999979
2005-02-22,2.430000067,2.670000076,2.940000057,3.119999886,3.460000038,3.619999886,3.880000114,4.090000153,4.289999962,4.75
2005-02-23,2.470000029,2.670000076,2.940000057,3.119999886,3.460000038,3.630000114,3.869999886,4.079999924,4.269999981,4.730000019
2005-02-24,2.480000019,2.690000057,2.940000057,3.130000114,3.519999981,3.670000076,3.910000086,4.099999905,4.289999962,4.739999771
2005-02-25,2.5,2.74000001,2.950000048,3.150000095,3.539999962,3.680000067,3.910000086,4.090000153,4.269999981,4.71999979
2005-02-28,2.50999999,2.75999999,3.00999999,3.200000048,3.589999914,3.75,4.0,4.179999828,4.360000134,4.789999962
2005-03-01,2.549999952,2.75,3.0,3.200000048,3.589999914,3.75999999,4.019999981,4.190000057,4.380000114,4.800000191
2005-03-02,2.539999962,2.74000001,3.0,3.190000057,3.569999933,3.75,4.0,4.199999809,4.380000114,4.820000172
2005-03-03,2.549999952,2.75999999,3.0,3.190000057,3.589999914,3.75999999,4.019999981,4.199999809,4.389999866,4.820000172
2005-03-04,2.559999943,2.75999999,3.00999999,3.200000048,3.569999933,3.730000019,3.970000029,4.150000095,4.320000172,4.730000019
2005-03-07,2.589999914,2.75999999,3.019999981,3.220000029,3.609999895,3.75999999,3.99000001,4.150000095,4.309999943,4.699999809
2005-03-08,2.609999895,2.75,3.029999971,3.230000019,3.619999886,3.789999962,4.050000191,4.21999979,4.380000114,4.78000021
2005-03-09,2.599999905,2.75999999,3.029999971,3.24000001,3.660000086,3.869999886,4.159999847,4.349999905,4.519999981,4.920000076
2005-03-10,2.599999905,2.75,3.039999962,3.25,3.680000067,3.869999886,4.130000114,4.289999962,4.480000019,4.849999905
2005-03-11,2.599999905,2.75999999,3.059999943,3.279999971,3.730000019,3.940000057,4.21999979,4.389999866,4.559999943,4.929999828
2005-03-14,2.619999886,2.799999952,3.099999905,3.319999933,3.75,3.950000048,4.199999809,4.360000134,4.519999981,4.900000095
2005-03-15,2.700000048,2.809999943,3.099999905,3.319999933,3.75,3.960000038,4.21999979,4.380000114,4.539999962,4.929999828
2005-03-16,2.680000067,2.799999952,3.089999914,3.299999952,3.720000029,3.920000076,4.179999828,4.349999905,4.519999981,4.909999847
2005-03-17,2.680000067,2.789999962,3.079999924,3.289999962,3.700000048,3.890000105,4.139999866,4.300000191,4.46999979,4.869999886
2005-03-18,2.700000048,2.809999943,3.109999895,3.319999933,3.720000029,3.910000086,4.179999828,4.340000153,4.510000229,4.920000076
2005-03-21,2.720000029,2.849999905,3.130000114,3.329999924,3.720000029,3.930000067,4.179999828,4.349999905,4.53000021,4.940000057
2005-03-22,2.769999981,2.890000105,3.170000076,3.400000095,3.859999895,4.059999943,4.309999943,4.449999809,4.630000114,5.010000229
2005-03-23,2.720000029,2.829999924,3.140000105,3.380000114,3.839999914,4.050000191,4.300000191,4.449999809,4.610000134,4.989999771
2005-03-24,2.700000048,2.839999914,3.160000086,3.410000086,3.880000114,4.059999943,4.300000191,4.440000057,4.599999905,4.96999979
2005-03-28,2.690000057,2.839999914,3.190000057,3.430000067,3.900000095,4.090000153,4.329999924,4.480000019,4.639999866,5.010000229
2005-03-29,2.700000048,2.839999914,3.170000076,3.410000086,3.869999886,4.050000191,4.300000191,4.440000057,4.599999905,4.980000019
2005-03-30,2.710000038,2.829999924,3.150000095,3.390000105,3.859999895,4.03000021,4.260000229,4.400000095,4.559999943,4.929999828
2005-03-31,2.630000114,2.789999962,3.130000114,3.349999905,3.799999952,3.960000038,4.179999828,4.329999924,4.5,4.880000114
2005-04-01,2.660000086,2.799999952,3.130000114,3.339999914,3.75,3.900000095,4.130000114,4.289999962,4.460000038,4.849999905
2005-04-04,2.640000105,2.799999952,3.140000105,3.339999914,3.74000001,3.900000095,4.130000114,4.300000191,4.46999979,4.840000153
2005-04-05,2.630000114,2.789999962,3.130000114,3.339999914,3.75,3.910000086,4.150000095,4.309999943,4.480000019,4.869999886
