Date_Time,actual_BC,predicted_BC,previous_day_bc,Long/Short,Profit (pips),,,method 2 simulated profit,,,
1/26/2018,1.238960417,1.2423203,1.2435,Short,0.004539583,0,0,0.004539583,,,
1/29/2018,1.23955625,1.2382857,1.238960417,Short,-0.000595833,0,0,-0.000595833,,,
1/30/2018,1.2431675,1.2386731,1.23955625,Short,-0.00361125,0,0,-0.00361125,,,
1/31/2018,1.245228333,1.2421252,1.2431675,Short,-0.002060833,0,0,-0.002060833,,,
2/1/2018,1.2473625,1.2439072,1.245228333,Short,-0.002134167,0,0,-0.002134167,,,
2/2/2018,1.243012917,1.246178,1.2473625,Short,0.004349583,0,0,0.004349583,,,
2/5/2018,1.237603333,1.242263,1.243012917,Short,0.005409583,0,0,0.005409583,,,
2/6/2018,1.233144583,1.2368923,1.237603333,Short,0.00445875,0,0,0.00445875,,,
2/7/2018,1.2256675,1.2326386,1.233144583,Short,0.007477083,0,0,0.007477083,,,
2/8/2018,1.225080833,1.2249938,1.2256675,Short,0.000586667,0,0,0.000586667,,,
2/9/2018,1.227572083,1.2242657,1.225080833,Short,-0.00249125,0,0,-0.00249125,,,
2/12/2018,1.23315625,1.2267492,1.227572083,Short,-0.005584167,1,0,-0.005,,,
2/13/2018,1.238576667,1.2323873,1.23315625,Short,-0.005420417,1,0,-0.005,,,
2/14/2018,1.248040417,1.2549655,1.238576667,Long,0.00946375,0,0,0.00946375,,,
2/15/2018,1.247694167,1.2465185,1.248040417,Short,0.00034625,0,0,0.00034625,,,
2/16/2018,1.235525,1.2464293,1.247694167,Short,0.012169167,0,1,0.01,,,
2/20/2018,1.231557917,1.2349547,1.235525,Short,0.003967083,0,0,0.003967083,,,
2/21/2018,1.229973333,1.231022,1.231557917,Short,0.001584583,0,0,0.001584583,,,
2/22/2018,1.2301625,1.2292004,1.229973333,Short,-0.000189167,0,0,-0.000189167,,,
2/23/2018,1.23138875,1.2294713,1.2301625,Short,-0.00122625,0,0,-0.00122625,,,
2/26/2018,1.228932917,1.2306484,1.23138875,Short,0.002455833,0,0,0.002455833,,,
2/27/2018,1.221324583,1.2284209,1.228932917,Short,0.007608333,0,0,0.007608333,,,
2/28/2018,1.220625417,1.2206193,1.221324583,Short,0.000699167,0,0,0.000699167,,,
3/1/2018,1.229754583,1.2196646,1.220625417,Short,-0.009129167,1,0,-0.005,,,
3/2/2018,1.2320275,1.2289944,1.229754583,Short,-0.002272917,0,0,-0.002272917,,,
3/5/2018,1.237735417,1.2312657,1.2320275,Short,-0.005707917,1,0,-0.005,,,
3/6/2018,1.241232917,1.2368568,1.237735417,Short,-0.0034975,0,0,-0.0034975,,,
3/7/2018,1.236419167,1.240295,1.241232917,Short,0.00481375,0,0,0.00481375,,,
3/8/2018,1.2308408,1.2359766,1.236419167,Short,0.005578367,0,0,0.005578367,,,
3/9/2018,1.232189583,1.2301573,1.2308408,Short,-0.001348783,0,0,-0.001348783,,,
3/12/2018,1.235897083,1.2313813,1.232189583,Short,-0.0037075,0,0,-0.0037075,,,
3/13/2018,1.23792875,1.2351016,1.235897083,Short,-0.002031667,0,0,-0.002031667,,,
3/14/2018,1.23433,1.2387643,1.23792875,Long,-0.00359875,0,0,-0.00359875,,,
3/15/2018,1.229931667,1.2337447,1.23433,Short,0.004398333,0,0,0.004398333,,,
