Date,actual_bc,predicted_BC,previous_day_bc,Long/Short,Profit (pips),,,method 2 simulated profits
5/1/2020,1.0904,1.1014208,1.098,Long,-0.0076,1,0,-0.005
5/4/2020,1.0837,1.1045247,1.0904,Long,-0.0067,1,0,-0.005
5/5/2020,1.0795,1.0932764,1.0837,Long,-0.0042,0,0,-0.0042
5/6/2020,1.0835,1.0873591,1.0795,Long,0.004,0,0,0.004
5/7/2020,1.0837,1.0868074,1.0835,Long,0.0002,0,0,0.0002
5/8/2020,1.0809,1.0885876,1.0837,Long,-0.0028,0,0,-0.0028
5/11/2020,1.085,1.0942514,1.0809,Long,0.0041,0,0,0.0041
5/12/2020,1.0817,1.0885687,1.085,Long,-0.0033,0,0,-0.0033
5/13/2020,1.0807,1.0904391,1.0817,Long,-0.001,0,0,-0.001
5/14/2020,1.0818,1.0869659,1.0807,Long,0.0011,0,0,0.0011
5/15/2020,1.0915,1.0876321,1.0818,Long,0.0097,0,0,0.0097
5/18/2020,1.0923,1.0908574,1.0915,Short,-0.0008,0,0,-0.0008
5/19/2020,1.0979,1.097232,1.0923,Long,0.0056,0,0,0.0056
5/20/2020,1.0952,1.0988742,1.0979,Long,-0.0027,0,0,-0.0027
5/21/2020,1.0898,1.1010615,1.0952,Long,-0.0054,1,0,-0.005
5/22/2020,1.0983,1.0972116,1.0898,Long,0.0085,0,0,0.0085
5/26/2020,1.1009,1.0976857,1.0983,Short,-0.0026,0,0,-0.0026
5/27/2020,1.1078,1.1022407,1.1009,Long,0.0069,0,0,0.0069
5/28/2020,1.1103,1.1068329,1.1078,Short,-0.0025,0,0,-0.0025
5/29/2020,1.1135,1.1115762,1.1103,Long,0.0032,0,0,0.0032
6/1/2020,1.1168,1.1134101,1.1135,Short,-0.0033,0,0,-0.0033
6/2/2020,1.1235,1.115903,1.1168,Short,-0.0067,1,0,-0.005
6/3/2020,1.1336,1.1206841,1.1235,Short,-0.0101,1,0,-0.005
6/4/2020,1.1289,1.1267859,1.1336,Short,0.0047,0,0,0.0047
6/5/2020,1.1296,1.1303068,1.1289,Long,0.0007,0,0,0.0007
6/8/2020,1.1339,1.1280276,1.1296,Short,-0.0043,0,0,-0.0043
6/9/2020,1.1379,1.1287975,1.1339,Short,-0.004,0,0,-0.004
6/10/2020,1.1299,1.1326414,1.1379,Short,0.008,0,0,0.008
6/11/2020,1.1257,1.1264914,1.1299,Short,0.0042,0,0,0.0042
6/12/2020,1.1324,1.1254104,1.1257,Short,-0.0067,1,0,-0.005
6/15/2020,1.1264,1.1255132,1.1324,Short,0.006,0,0,0.006
6/16/2020,1.1243,1.1212459,1.1264,Short,0.0021,0,0,0.0021
6/17/2020,1.1203,1.1238275,1.1243,Short,0.004,0,0,0.004
6/18/2020,1.1179,1.121208,1.1203,Long,-0.0024,0,0,-0.0024
6/19/2020,1.1262,1.1196171,1.1179,Long,0.0083,0,0,0.0083
6/22/2020,1.1308,1.1204615,1.1262,Short,-0.0046,0,0,-0.0046
6/23/2020,1.1252,1.1260062,1.1308,Short,0.0056,0,0,0.0056
6/24/2020,1.1219,1.1255733,1.1252,Long,-0.0033,0,0,-0.0033
6/25/2020,1.122,1.1212745,1.1219,Short,-0.0001,0,0,-0.0001
6/26/2020,1.1243,1.1200229,1.122,Short,-0.0023,0,0,-0.0023
6/29/2020,1.1236,1.1217884,1.1243,Short,0.0007,0,0,0.0007
6/30/2020,1.1253,1.1212804,1.1236,Short,-0.0017,0,0,-0.0017
7/1/2020,1.124,1.1217669,1.1253,Short,0.0013,0,0,0.0013
7/2/2020,1.1309,1.1213459,1.124,Short,-0.0069,1,0,-0.005
7/6/2020,1.1275,1.1255368,1.1309,Short,0.0034,0,0,0.0034
7/7/2020,1.1329,1.1258984,1.1275,Short,-0.0054,1,0,-0.005
7/8/2020,1.1285,1.126464,1.1329,Short,0.0044,0,0,0.0044
7/9/2020,1.13,1.1273563,1.1285,Short,-0.0015,0,0,-0.0015
7/10/2020,1.1345,1.1253294,1.13,Short,-0.0045,0,0,-0.0045
7/13/2020,1.1401,1.1281139,1.1345,Short,-0.0056,1,0,-0.005
7/14/2020,1.1412,1.1319982,1.1401,Short,-0.0011,0,0,-0.0011
7/15/2020,1.1385,1.1339041,1.1412,Short,0.0027,0,0,0.0027
7/16/2020,1.1428,1.1228106,1.1385,Short,-0.0043,0,0,-0.0043
7/17/2020,1.1447,1.1335229,1.1428,Short,-0.0019,0,0,-0.0019
7/20/2020,1.1528,1.1344687,1.1447,Short,-0.0081,1,0,-0.005
7/21/2020,1.1571,1.1368837,1.1528,Short,-0.0043,0,0,-0.0043
