,Date_Time,BO,BH,BL,BC,1_mo,3_mo,6_mo,1_yr,2_yr,3_yr,5_yr,7_yr,10_yr,20_yr,federal funds rate,retail sales,core retail sales,PPI m/m,unemployment rate,main refinancing rate,CPI m/m,Core CPI m/m,Prelim GDP q/q
0,2005-05-02,1.285467916666667,1.28613625,1.2849408333333332,1.2854762500000003,2.680000067,2.930000067,3.190000057,3.339999914,3.640000105,3.710000038,3.880000114,4.019999981,4.210000038,4.610000134,0,0,0,0,0,0,0,0,0
1,2005-05-03,1.28633375,1.2873074999999998,1.2855675000000002,1.2864266666666666,2.650000095,2.910000086,3.190000057,3.349999905,3.680000067,3.730000019,3.900000095,4.03000021,4.210000038,4.599999905,0,0,0,0,0,0,0,0,0
2,2005-05-04,1.29437375,1.2953475,1.2935166666666664,1.2946475,2.589999914,2.869999886,3.170000076,3.319999933,3.630000114,3.700000048,3.869999886,4.010000229,4.199999809,4.639999866,0,0,0,0,0,0,0,0,0
3,2005-05-05,1.2951179166666666,1.2959766666666666,1.29443875,1.29513875,2.599999905,2.809999943,3.140000105,3.289999962,3.579999924,3.650000095,3.819999933,3.980000019,4.190000057,4.639999866,0,0,0,0,0,0,0,0,0
4,2005-05-06,1.289243333333333,1.2897633333333334,1.2881566666666664,1.288693333333333,2.640000105,2.869999886,3.190000057,3.369999886,3.730000019,3.799999952,3.950000048,4.090000153,4.28000021,4.690000057,0,0,0,0,0,0,0,0,0
5,2005-05-09,1.28231375,1.2832316666666668,1.2816537499999998,1.2824345833333333,2.660000086,2.910000086,3.220000029,3.400000095,3.75999999,3.829999924,3.99000001,4.110000134,4.289999962,4.690000057,0,0,0,0,0,0,0,0,0
6,2005-05-10,1.285847083333333,1.286568333333333,1.285078333333333,1.2859741666666664,2.599999905,2.900000095,3.200000048,3.369999886,3.690000057,3.789999962,3.930000067,4.039999962,4.230000019,4.650000095,0,0,0,0,0,0,0,0,0
7,2005-05-11,1.28459875,1.2854654166666666,1.283297916666667,1.2842925,2.599999905,2.869999886,3.180000067,3.349999905,3.680000067,3.779999971,3.910000086,4.010000229,4.210000038,4.610000134,0,0,0,0,0,0,0,0,0
8,2005-05-12,1.27446375,1.2750729166666668,1.2731908333333335,1.2739595833333337,2.579999924,2.880000114,3.170000076,3.339999914,3.660000086,3.75,3.869999886,3.99000001,4.179999828,4.590000153,0,0,0,0,0,0,0,0,0
9,2005-05-13,1.2646691666666667,1.2653225,1.2635995833333336,1.2643316666666669,2.470000029,2.829999924,3.130000114,3.289999962,3.609999895,3.710000038,3.829999924,3.950000048,4.119999886,4.559999943,0,0,0,0,0,0,0,0,0
10,2005-05-16,1.26159625,1.2625620833333333,1.2608849999999998,1.261677916666667,2.480000019,2.890000105,3.180000067,3.329999924,3.609999895,3.710000038,3.829999924,3.900000095,4.130000114,4.559999943,0,0,0,0,0,0,0,0,0
11,2005-05-17,1.26263625,1.2634841666666663,1.26177625,1.2624979166666666,2.599999905,2.880000114,3.170000076,3.319999933,3.609999895,3.710000038,3.819999933,3.880000114,4.119999886,4.539999962,0,0,0,0,0,0,0,0,0
12,2005-05-18,1.26347625,1.2645375,1.2627095833333335,1.2638058333333333,2.599999905,2.859999895,3.150000095,3.289999962,3.559999943,3.670000076,3.769999981,3.829999924,4.070000172,4.489999771,0,0,0,0,0,0,0,0,0
13,2005-05-19,1.2650904166666668,1.26570375,1.2641841666666669,1.2649112500000002,2.630000114,2.869999886,3.140000105,3.309999943,3.640000105,3.730000019,3.839999914,3.859999895,4.110000134,4.519999981,0,0,0,0,0,0,0,0,0
14,2005-05-20,1.2598037500000003,1.2604066666666665,1.2588570833333337,1.259470416666667,2.660000086,2.900000095,3.170000076,3.349999905,3.690000057,3.769999981,3.880000114,3.890000105,4.130000114,4.519999981,0,0,0,0,0,0,0,0,0
15,2005-05-23,1.2562795833333331,1.2570829166666664,1.255699583333333,1.2563558333333331,2.690000057,2.970000029,3.190000057,3.349999905,3.650000095,3.730000019,3.829999924,3.829999924,4.070000172,4.460000038,0,0,0,0,0,0,0,0,0
16,2005-05-24,1.2581879166666667,1.2589470833333336,1.2573541666666668,1.25814375,2.819999933,2.940000057,3.170000076,3.319999933,3.609999895,3.680000067,3.779999971,3.799999952,4.039999962,4.429999828,0,0,0,0,0,0,0,0,0
17,2005-05-25,1.2587120833333334,1.2596295833333333,1.2580649999999995,1.2588812500000002,2.789999962,2.950000048,3.170000076,3.319999933,3.609999895,3.680000067,3.809999943,3.849999905,4.079999924,4.480000019,0,0,0,0,0,0,0,0,0
18,2005-05-26,1.2546108333333332,1.25519375,1.2534383333333334,1.2542220833333333,2.769999981,2.940000057,3.150000095,3.309999943,3.640000105,3.720000029,3.819999933,3.920000076,4.079999924,4.489999771,0,0,0,0,0,0,0,0,0
19,2005-05-27,1.253737916666667,1.2545833333333334,1.25320875,1.253994166666667,2.769999981,2.970000029,3.140000105,3.309999943,3.640000105,3.720000029,3.819999933,3.920000076,4.079999924,4.489999771,0,0,0,0,0,0,0,0,0
21,2005-05-31,1.2357879166666663,1.2366533333333332,1.2342458333333337,1.2350650000000003,2.799999952,2.99000001,3.180000067,3.319999933,3.599999905,3.650000095,3.75999999,3.859999895,4.0,4.400000095,0,0,0,0,0,0,0,0,0
22,2005-06-01,1.2263945833333332,1.2273291666666666,1.224980416666667,1.2259799999999996,2.789999962,2.970000029,3.119999886,3.25,3.5,3.549999952,3.630000114,3.74000001,3.910000086,4.309999943,0,0,0,0,0,0,0,0,0
23,2005-06-02,1.2250850000000002,1.2264545833333331,1.2241220833333335,1.2253808333333334,2.799999952,2.970000029,3.130000114,3.25999999,3.519999981,3.559999943,3.650000095,3.74000001,3.890000105,4.28000021,0,0,0,0,0,0,0,0,0
24,2005-06-03,1.2261595833333334,1.2271633333333332,1.2248408333333334,1.2259720833333334,2.819999933,3.00999999,3.130000114,3.279999971,3.569999933,3.630000114,3.730000019,3.829999924,3.980000019,4.340000153,0,0,0,0,0,0,0,0,0
25,2005-06-06,1.2263954166666668,1.2272441666666667,1.2255987499999998,1.2265758333333334,2.829999924,3.019999981,3.150000095,3.299999952,3.589999914,3.640000105,3.730000019,3.819999933,3.960000038,4.309999943,0,0,0,0,0,0,0,0,0
26,2005-06-07,1.2276279166666666,1.2285104166666667,1.22687875,1.2277,2.819999933,3.019999981,3.140000105,3.279999971,3.569999933,3.619999886,3.700000048,3.779999971,3.920000076,4.260000229,0,0,0,0,0,0,0,0,0
27,2005-06-08,1.2292433333333332,1.2301987499999998,1.2281016666666666,1.2290495833333333,2.829999924,3.019999981,3.150000095,3.299999952,3.599999905,3.650000095,3.730000019,3.809999943,3.950000048,4.289999962,0,0,0,0,0,0,0,0,0
28,2005-06-09,1.2229025000000002,1.2238683333333331,1.2221025,1.2228512500000004,2.809999943,2.99000001,3.140000105,3.309999943,3.640000105,3.680000067,3.75999999,3.839999914,3.980000019,4.309999943,0,0,0,0,0,0,0,0,0
